Player,FNameInit,Team,Value,Start,Sub,Goals,Penalty Missed,Key Contributions,Clean Sheet Full, Clean Sheet Part,Goal Conceded, Penalty Save,Red Card,Yellow Card,Own Goal, Points Per Value,Total Points
 King, J,BOU,3.2m,24,6,7,0,2,-,-,-,-,0,2,0,29.1,93
 Howson, J,NOR,3.0m,32,3,3,0,6,-,-,-,-,0,7,0,31.0,93
 M'Vila, Y,SUN,3.3m,33,1,1,0,7,-,-,-,-,0,1,0,27.9,92
 Adrian,WHM,2.9m,31,0,0,0,0,8,0,39,2,1,1,0,31.7,92
 Benteke, C,LIV,6.4m,16,13,7,0,4,-,-,-,-,0,2,0,14.1,90
 Blind, D,MUN,3.8m,38,0,2,0,2,-,-,-,-,0,2,0,23.7,90
 Johnson, G,STO,3.1m,25,1,0,0,3,9,2,29,-,0,1,0,29.0,90
 Pieters, E,STO,3.1m,33,0,0,0,1,10,1,42,-,0,9,0,29.0,90
 Lennon, A,EVE,2.9m,20,6,6,0,5,-,-,-,-,0,1,0,31.0,90
 Mertesacker, P,ARS,4.5m,26,0,0,0,0,10,2,25,-,1,1,0,19.8,89
 Navas, J,MCY,4.0m,24,9,0,0,11,-,-,-,-,0,1,0,22.2,89
 Redmond, N,NOR,3.1m,20,12,5,0,4,-,-,-,-,0,0,0,28.7,89
 van Aanholt, P,SUN,2.9m,31,0,5,0,3,5,0,56,-,0,2,0,30.7,89
 Cook, S,BOU,2.0m,33,1,4,0,1,7,1,57,-,0,5,0,44.5,89
 Perez, A,NEW,4.2m,23,10,6,0,2,-,-,-,-,0,4,0,21.0,88
 Kouyate, C,WHM,3.1m,35,0,4,0,3,-,-,-,-,2,5,0,28.4,88
 Lanzini, M,WHM,3.0m,21,4,6,0,5,-,-,-,-,0,3,0,29.3,88
 Krkic, B,STO,5.2m,22,4,7,0,2,-,-,-,-,0,2,0,16.7,87
 Jagielka, P,EVE,3.9m,25,0,0,0,0,10,0,27,-,0,1,0,22.3,87
 Iheanacho, K,MCY,3.0m,7,19,9,0,3,-,-,-,-,0,0,0,29.0,87
 Wollscheid, P,STO,2.6m,31,1,0,0,0,10,0,44,-,0,4,0,33.5,87
 Vertonghen, J,TOT,4.1m,25,0,0,0,0,9,0,19,-,0,4,1,20.7,85
 Taylor, N,SWA,3.1m,32,1,0,0,2,8,2,45,-,0,4,0,27.4,85
 Watson, B,WAT,3.0m,32,4,1,0,5,-,-,-,-,0,3,0,28.3,85
 Zouma, K,CHE,4.0m,22,2,1,0,0,9,2,26,-,0,0,0,20.8,83
 Kante, N,LEI,3.3m,31,4,1,0,5,-,-,-,-,0,3,0,25.2,83
 Tomkins, J,WHM,2.9m,24,1,1,0,0,8,2,25,-,0,3,0,28.6,83
 Ake, N,WAT,2.4m,22,3,1,0,2,8,2,24,-,1,3,0,34.6,83
 Shaqiri, X,STO,4.1m,26,0,3,0,6,-,-,-,-,0,3,0,20.0,82
 Davis, S,SOT,3.3m,29,3,2,0,5,-,-,-,-,0,4,0,24.8,82
 Lingard, J,MUN,3.3m,21,6,5,0,4,-,-,-,-,0,3,0,24.8,82
